Sepal.Length,Sepal.Width,Petal.Length,Petal.Width,Species,PC1,PC2
5.1,3.5,1.4,0.2,setosa,-2.2647028088075962,0.48002659652098906
4.9,3.0,1.4,0.2,setosa,-2.0809611519657687,-0.6741335566053536
4.7,3.2,1.3,0.2,setosa,-2.3642290538903015,-0.34190802388467684
4.6,3.1,1.5,0.2,setosa,-2.2993842170427086,-0.5973945076746764
5.0,3.6,1.4,0.2,setosa,-2.389842166313845,0.6468353829020268
5.4,3.9,1.7,0.4,setosa,-2.075630948176513,1.4891775233211666
4.6,3.4,1.4,0.3,setosa,-2.444028835134153,0.04764419763001348
5.0,3.4,1.5,0.2,setosa,-2.232847158872015,0.22314807268959136
4.4,2.9,1.4,0.2,setosa,-2.3346404779076217,-1.1153276754616672
4.9,3.1,1.5,0.1,setosa,-2.1843281749339423,-0.4690135614023761
5.4,3.7,1.5,0.2,setosa,-2.166310100701323,1.0436906530538599
4.8,3.4,1.6,0.2,setosa,-2.326130866442699,0.13307833523923104
4.8,3.0,1.4,0.1,setosa,-2.2184508988224096,-0.7286761653165713
4.3,3.0,1.1,0.1,setosa,-2.6331006957652283,-0.9615067291701639
5.8,4.0,1.2,0.2,setosa,-2.1987406032666907,1.8600571132939314
5.7,4.4,1.5,0.4,setosa,-2.262214531601022,2.686284485110592
5.4,3.9,1.3,0.4,setosa,-2.207587695824593,1.4836093631555725
5.1,3.5,1.4,0.3,setosa,-2.190349509192299,0.48883831648632753
5.7,3.8,1.7,0.3,setosa,-1.8985719958028429,1.4050187944665495
5.1,3.8,1.5,0.3,setosa,-2.3433690530749938,1.1278493819084758
5.4,3.4,1.7,0.2,setosa,-1.914322996082568,0.4088557077559062
5.1,3.7,1.5,0.4,setosa,-2.207012843194799,0.9241214267468982
4.6,3.6,1.0,0.2,setosa,-2.7743447029273325,0.45834366775291485
5.1,3.3,1.7,0.5,setosa,-1.8186695286958499,0.08555852628736584
4.8,3.4,1.9,0.2,setosa,-2.2271633057066387,0.13725445536342665
5.0,3.0,1.6,0.2,setosa,-1.9518463309003762,-0.625618587776677
5.0,3.4,1.6,0.4,setosa,-2.0511513727294157,0.24216355266166667
5.2,3.5,1.5,0.2,setosa,-2.168577174654217,0.5271495253082673
5.2,3.4,1.4,0.2,setosa,-2.139563451301332,0.3132178101399517
4.7,3.2,1.6,0.2,setosa,-2.2652614931542416,-0.3377319037604812
4.8,3.1,1.6,0.2,setosa,-2.1401221356479843,-0.5045406901415189
5.4,3.4,1.5,0.4,setosa,-1.8315947706760287,0.4236950676037859
5.2,4.1,1.5,0.1,setosa,-2.614947935858935,1.7935758561044284
5.5,4.2,1.4,0.2,setosa,-2.4461773916965157,2.150727877392924
4.9,3.1,1.5,0.2,setosa,-2.1099748753186525,-0.4602018414370377
5.0,3.2,1.2,0.2,setosa,-2.207808899078266,-0.20610739768843714
5.5,3.5,1.3,0.2,setosa,-2.0451462067542017,0.6615581114631085
4.9,3.6,1.4,0.1,setosa,-2.5273319131704866,0.5922927741908091
4.4,3.0,1.3,0.2,setosa,-2.4296325750845464,-0.9041800403761489
5.1,3.4,1.5,0.2,setosa,-2.169710711630664,0.2688789614354706
5.0,3.5,1.3,0.3,setosa,-2.2864751433456707,0.4417153876990498
4.5,2.3,1.3,0.3,setosa,-1.8581224563735714,-2.337415157553348
4.4,3.2,1.3,0.2,setosa,-2.5536383956143562,-0.47910069012231493
5.0,3.5,1.6,0.6,setosa,-1.9644476837637415,0.47232666771926046
5.1,3.8,1.9,0.4,setosa,-2.1370590058116234,1.1422292620394083
4.8,3.0,1.4,0.3,setosa,-2.06974429959183,-0.7110527253858945
5.1,3.8,1.6,0.2,setosa,-2.3847331657782633,1.1204297019845357
4.6,3.2,1.4,0.2,setosa,-2.3943763142196333,-0.38624687258915796
5.3,3.7,1.5,0.2,setosa,-2.229446547942675,0.9979597643079803
5.0,3.3,1.4,0.2,setosa,-2.203833435519131,0.009216357521275934
7.0,3.2,4.7,1.4,versicolor,1.1017811830529483,0.8629724182621596
6.4,3.2,4.5,1.5,versicolor,0.7313374253960877,0.5946147256694247
6.9,3.1,4.9,1.5,versicolor,1.2409793195158314,0.6162976544374991
5.5,2.3,4.0,1.3,versicolor,0.4074830588173857,-1.7544039893234107
6.5,2.8,4.6,1.5,versicolor,1.0754747006090783,-0.20842104605096515
5.7,2.8,4.5,1.3,versicolor,0.38868733653566523,-0.5932836359900755
6.3,3.3,4.7,1.6,versicolor,0.746529741329161,0.7730193120985965
4.9,2.4,3.3,1.0,versicolor,-0.4873227421256394,-1.8524290868575748
6.6,2.9,4.6,1.3,versicolor,0.9279016383549457,0.03222607789115433
5.2,2.7,3.9,1.4,versicolor,0.011426188736980284,-1.0340182751294411
5.0,2.0,3.5,1.0,versicolor,-0.11019628000062837,-2.654072818536565
5.9,3.0,4.2,1.5,versicolor,0.44069344898307855,-0.06329518843800157
6.0,2.2,4.0,1.0,versicolor,0.5621083064431794,-1.7647243806169448
6.1,2.9,4.7,1.4,versicolor,0.7195618886754969,-0.18622460583150574
5.6,2.9,3.6,1.3,versicolor,-0.03335470317877217,-0.4390032099816249
6.7,3.1,4.4,1.4,versicolor,0.875407190857738,0.5090639567734092
5.6,3.0,4.5,1.5,versicolor,0.35025166799508295,-0.19631173455144446
5.8,2.7,4.1,1.0,versicolor,0.15881004754797165,-0.7920957424327215
6.2,2.2,4.5,1.5,versicolor,1.2250936335624325,-1.6222438030915014
5.6,2.5,3.9,1.1,versicolor,0.16491789938632773,-1.3026092302957728
5.9,3.2,4.8,1.8,versicolor,0.7376826487712584,0.39657156196023857
6.1,2.8,4.0,1.3,versicolor,0.47628719094097166,-0.4173202812135508
6.3,2.5,4.9,1.5,versicolor,1.23417809765715,-0.9333257287992781
6.1,2.8,4.7,1.2,versicolor,0.6328581997098223,-0.4163877208890994
6.4,2.9,4.3,1.3,versicolor,0.7026611831361824,-0.06341181972479977
6.6,3.0,4.4,1.4,versicolor,0.8742736538812906,0.2507933929006126
6.8,2.8,4.8,1.4,versicolor,1.2565091165418838,-0.0772560196958684
6.7,3.0,5.0,1.7,versicolor,1.3584051214406323,0.3313116817908985
6.0,2.9,4.5,1.5,versicolor,0.6648003672253952,-0.22592785469484372
5.7,2.6,3.5,1.0,versicolor,-0.04025861090059527,-1.0587185465539082
5.5,2.4,3.8,1.1,versicolor,0.1307951754978611,-1.5622718342099677
5.5,2.4,3.7,1.0,versicolor,0.023452688970551326,-1.5724755942167046
5.8,2.7,3.9,1.2,versicolor,0.2415382729545112,-0.777256382584842
6.0,2.7,5.1,1.6,versicolor,1.0610946088426145,-0.633843244734947
5.4,3.0,4.5,1.5,versicolor,0.2239787735123798,-0.28777351204320284
6.0,3.4,4.5,1.6,versicolor,0.4291391155161607,0.8455822409050784
6.7,3.1,4.7,1.5,versicolor,1.0487280512090877,0.5220517968629431
6.3,2.3,4.4,1.3,versicolor,1.0445313843962796,-1.382988719190781
5.6,3.0,4.1,1.3,versicolor,0.069588321116423,-0.21950333464771535
5.5,2.5,4.0,1.3,versicolor,0.28347723828757576,-1.329324639069577
5.5,2.6,4.4,1.2,versicolor,0.27907777605546125,-1.120028523742404
6.1,3.0,4.6,1.4,versicolor,0.6245697914985716,0.024923029254012675
5.8,2.6,4.0,1.2,versicolor,0.3365303701314362,-0.9884040176703602
5.0,2.3,3.3,1.0,versicolor,-0.362183384619383,-2.019237873238612
5.6,2.7,4.2,1.3,versicolor,0.2885862388231576,-0.8557303199870666
5.7,3.0,4.2,1.2,versicolor,0.09136065565450532,-0.18119212582577554
5.7,2.9,4.2,1.3,versicolor,0.22771686553470014,-0.38492008098735403
6.2,2.9,4.3,1.3,versicolor,0.5763882886534789,-0.1548735972165586
5.1,2.5,3.0,1.1,versicolor,-0.44766701902861145,-1.5437920343977565
5.7,2.8,4.1,1.3,versicolor,0.25673058888758493,-0.5988517961556696
6.3,3.3,6.0,2.5,virginica,1.8445688677230294,0.8704213123248228
5.8,2.7,5.1,1.9,virginica,1.15788161320578,-0.6988698623306908
7.1,3.0,5.9,2.1,virginica,2.205266791075379,0.5620104770083562
6.3,2.9,5.6,1.8,virginica,1.44015066382754,-0.04698758810580661
6.5,3.0,5.8,2.2,virginica,1.867812220330538,0.2950448244570197
7.6,3.0,6.6,2.1,virginica,2.7518733356662772,0.8004092010275428
4.9,2.5,4.5,1.7,virginica,0.36701768786072475,-1.561502891476507
7.3,2.9,6.3,1.8,virginica,2.3024394446251972,0.42006557964277697
6.7,2.5,5.8,1.8,virginica,2.0066864676766065,-0.7114386535471584
7.2,3.6,6.1,2.5,virginica,2.2597773490125004,1.9210103764598871
6.5,3.2,5.1,2.0,virginica,1.3641754921860079,0.6927564544903871
6.4,2.7,5.3,1.9,virginica,1.6026786704779312,-0.4217004497726173
6.8,3.0,5.5,2.1,virginica,1.8839007017032428,0.4192496506051239
5.7,2.5,5.0,2.0,virginica,1.2601150991975083,-1.1622604214064638
5.8,2.8,5.1,2.4,virginica,1.4676452010173244,-0.442271587377083
6.4,3.2,5.3,2.3,virginica,1.590077317614566,0.6762448057233199
6.5,3.0,5.5,1.8,virginica,1.4714314611333188,0.25562182447147064
7.7,3.8,6.7,2.2,virginica,2.4263289873157,2.5566612507954933
7.7,2.6,6.9,2.3,virginica,3.3106955839338883,0.017780949320628125
6.0,2.2,5.0,1.5,virginica,1.263766673639829,-1.7067453803762673
6.9,3.2,5.7,2.3,virginica,2.037716301469405,0.9104674096183111
5.6,2.8,4.9,2.0,virginica,0.977980734249422,-0.5717643248129923
7.7,2.8,6.7,2.0,virginica,2.8976514907341695,0.4136410595956487
6.3,2.7,4.9,1.8,virginica,1.3332321759732095,-0.4818112186494293
6.7,3.3,5.7,2.1,virginica,1.7007338974912174,1.0139218673227917
7.2,3.2,6.0,1.8,virginica,1.9543267058530711,1.007777596153453
6.2,2.8,4.8,1.8,virginica,1.1751036315549332,-0.3163944723097911
6.1,3.0,4.9,1.8,virginica,1.0209505506957914,0.06434602923956177
6.4,2.8,5.6,2.1,virginica,1.7883499201796662,-0.1873612145908289
7.2,3.0,5.8,1.6,virginica,1.8636475533282617,0.5622907258861453
7.4,2.8,6.1,1.9,virginica,2.435953727922704,0.259284433144281
7.9,3.8,6.4,2.0,virginica,2.3049277218317648,2.6263234682323797
6.4,2.8,5.6,2.2,virginica,1.862703219794956,-0.17854949462549055
6.3,2.8,5.1,1.5,virginica,1.1141477406864753,-0.2929226233357313
6.1,2.6,5.6,1.4,virginica,1.2024733016783913,-0.8113152708396687
7.7,3.0,6.1,2.3,virginica,2.7987704475781086,0.8568033294971065
6.3,3.4,5.6,2.4,virginica,1.5762559101947546,1.0685811073208074
6.4,3.1,5.5,1.8,virginica,1.3462921036270623,0.42243061085250827
6.0,3.0,4.8,1.8,virginica,0.9248249165424198,0.017223100452283997
6.9,3.1,5.4,2.1,virginica,1.8520450517676705,0.6761281744365218
6.7,3.1,5.6,2.4,virginica,2.0148104299548764,0.6138856369235752
6.9,3.1,5.1,2.3,virginica,1.9017840902621896,0.6895754942430029
5.8,2.7,5.1,1.9,virginica,1.15788161320578,-0.6988698623306908
6.8,3.2,5.9,2.3,virginica,2.0405582280520926,0.8675206009552285
6.7,3.3,5.7,2.5,virginica,1.9981470959523766,1.049168747184145
6.7,3.0,5.2,2.3,virginica,1.8705032929564114,0.3869660816657258
6.3,2.5,5.0,1.9,virginica,1.564580483030329,-0.896686808896526
6.5,3.0,5.2,2.0,virginica,1.5211704996278381,0.26906914427795176
6.2,3.4,5.4,2.3,virginica,1.3727877895140732,1.0112544185267927
5.9,3.0,5.1,1.8,virginica,0.9606560300371284,-0.024331668169399655
